Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS,SUB_CLUSTERS
baby on board stickers,0,21,0.0000,70.0,baby board stickers,3,1
baby on board stickers for car,0,1,0.0000,52.0,baby board stickers car,3,1
baby on board stickers for cars,0,11,0.0000,69.0,baby board stickers cars,3,1
baby on board surfboard sticker,0,1,0.0000,68.0,baby board surfboard sticker,3,1
baby on board vinyl,0,4,0.0000,41.0,baby board vinyl,3,1
baby on board vinyl decal,0,2,0.0000,23.0,baby board vinyl decal,3,1
baby on board vinyl sticker,0,1,0.0000,34.0,baby board vinyl sticker,3,1
baby on board window cling,0,28,0.0000,9.3,baby board window cling,3,1
baby on board window decal,0,88,0.0000,21.0,baby board window decal,3,1
baby on board window sticker,0,80,0.0000,21.0,baby board window sticker,3,1
baby on surfboard sticker,0,2,0.0000,98.0,baby surfboard sticker,3,1
baby socks,0,4,0.0000,150.0,baby socks,3,1
baby stickers,0,3,0.0000,88.0,baby stickers,3,1
baby tees menu,0,4,0.0000,89.0,baby t-shirt menu,3,1
baby window stickers,0,1,0.0000,10.0,baby window stickers,3,1
back bag,0,11,0.0000,81.0,back bag,3,1
back bag brand,0,7,0.0000,34.0,back bag brand,3,1
back bag brands,0,12,0.0000,40.0,back bag brands,3,1
back bag for laptop,0,1,0.0000,99.0,back bag laptop,3,1
back bag herschel,0,1,0.0000,71.0,back bag herschel,3,1
back bags for sale,0,1,0.0000,81.0,back bags sale,3,1
back pack laptop,0,2,0.0000,91.0,back pack laptop,3,1
backpack and tote in one,0,1,0.0000,100.0,backpack tote one,3,1
backpack back view,0,3,0.0000,44.0,backpack back view,3,1
backpack bag,0,4,0.0000,140.0,backpack bag,3,1
backpack bag brands,0,8,0.0000,120.0,backpack bag brands,3,1
backpack bags,0,40,0.0000,87.0,backpack bags,3,1
backpack bags brands,0,2,0.0000,71.0,backpack bags brands,3,1
backpack black low,0,2,0.0000,62.0,backpack black low,3,1
backpack book bag,0,2,0.0000,90.0,backpack book bag,3,1
backpack brand,0,8,0.0000,95.0,backpack brand,3,1
backpack brand logos,0,3,0.0000,87.0,backpack brand logos,3,1
backpack brands,0,16,0.0000,120.0,backpack brands,3,1
backpack brands logo,0,26,0.0000,83.0,backpack brands logo,3,1
backpack buy,0,6,0.0000,31.0,backpack buy,3,1
backpack canvas bag,0,3,0.0000,30.0,backpack canvas bag,3,1
backpack cart,0,20,0.0000,82.0,backpack cart,3,1
backpack clip on,0,2,0.0000,75.0,backpack clip,3,1
backpack computer bag,0,11,0.0000,92.0,backpack computer bag,3,1
backpack decals,0,1,0.0000,90.0,backpack decals,3,1
backpack flashlight,0,5,0.0000,67.0,backpack flashlight,3,1
backpack flat,0,1,0.0000,10.0,backpack flat,3,1
backpack flat design,0,1,0.0000,27.0,backpack flat design,3,1
backpack for laptop and books,0,5,0.0000,89.0,backpack laptop books,3,1
backpack for laptop and clothes,0,2,0.0000,79.0,backpack laptop clothes,3,1
backpack for notebook,0,1,0.0000,98.0,backpack notebook,3,1
backpack front pouch,0,5,0.0000,28.0,backpack front pouch,3,1
backpack gift bags,0,2,0.0000,44.0,backpack gift bags,3,1
backpack gym bag,0,2,0.0000,81.0,backpack gym bag,3,1
backpack kid merch,0,2,0.0000,15.0,backpack kid merchandise,3,1
backpack laptop bag,0,43,0.0000,94.0,backpack laptop bag,3,1
backpack laptop bags,0,1,0.0000,83.0,backpack laptop bags,3,1
backpack laptop sleeve,0,5,0.0000,77.0,backpack laptop sleeve,3,1
backpack makes,0,1,0.0000,50.0,backpack makes,3,1
backpack men canvas in stock,0,7,0.0000,28.0,backpack men canvas stock,3,1
backpack nearby,0,7,0.0000,1.0,backpack nearby,3,1
backpack notebook,0,17,0.0000,76.0,backpack notebook,3,1
backpack notebook bag,0,1,0.0000,62.0,backpack notebook bag,3,1
backpack office bags,0,1,0.0000,41.0,backpack office bags,3,1
backpack or bag,0,2,0.0000,68.0,backpack bag,3,1
backpack or laptop bag,0,1,0.0000,94.0,backpack laptop bag,3,1
backpack phone pouch,0,1,0.0000,91.0,backpack phone pouch,3,1
backpack pins,0,1,0.0000,95.0,backpack pins,3,1
backpack price,0,1,0.0000,270.0,backpack price,3,1
backpack purse canvas,0,1,0.0000,99.0,backpack purse canvas,3,1
backpack purse laptop,0,1,0.0000,97.0,backpack purse laptop,3,1
backpack roll top,0,25,0.0000,58.0,backpack roll top,3,1
backpack sack bags,0,1,0.0000,72.0,backpack sack bags,3,1
backpack shopping,0,4,0.0000,160.0,backpack shop,3,1
backpack shopping bag,0,48,0.0000,4.0,backpack shop bag,3,1
backpack string bag,0,1,0.0000,90.0,backpack string bag,3,1
backpack that folds into a pouch,0,1,0.0000,130.0,backpack folds pouch,3,1
backpack tote,0,4,0.0000,90.0,backpack tote,3,1
backpack tote bag,0,103,0.0000,75.0,backpack tote bag,3,1
backpack totes,0,3,0.0000,87.0,backpack totes,3,1
backpack travel cover tote bag,0,90,0.0000,43.0,backpack travel cover tote bag,3,1
backpack with carry on sleeve,0,1,0.0000,84.0,backpack carry sleeve,3,1
backpack with front clip,0,11,0.0000,78.0,backpack front clip,3,1
backpack with laptop sleeve,0,57,0.0000,95.0,backpack laptop sleeve,3,1
backpack with padded laptop sleeve,0,1,0.0000,87.0,backpack padded laptop sleeve,3,1
backpack with pin window,0,1,0.0000,47.0,backpack pin window,3,1
backpack-buy,0,5,0.0000,56.0,backpack buy,3,1
backpacking bags,0,1,0.0000,97.0,backpacking bags,3,1
backpacks brands logos,0,8,0.0000,71.0,backpacks brands logos,3,1
backpacks roll top,0,1,0.0000,84.0,backpacks roll top,3,1
backpacks shop,0,5,0.0000,81.0,backpacks shop,3,1
backpacks with laptop compartment,0,1,0.0000,93.0,backpacks laptop compartment,3,1
backpacks with laptop sleeve,0,2,0.0000,97.0,backpacks laptop sleeve,3,1
bag back pack,0,2,0.0000,2.0,bag back pack,3,1
bag backpack,0,15,0.0000,27.0,bag backpack,3,1
bag bag,0,1,0.0000,3.0,bag bag,3,1
bag bag store,0,1,0.0000,37.0,bag bag store,3,1
bag bags,0,5,0.0000,4.0,bag bags,3,1
bag black,0,2,0.0000,83.0,bag black,3,1
bag board decals,0,1,0.0000,93.0,bag board decals,3,1
bag brands backpack,0,2,0.0000,63.0,bag brands backpack,3,1
bag buy,0,5,0.0000,6.6,bag buy,3,1
bag for laptop and books,0,4,0.0000,77.0,bag laptop books,3,1
bag for laptop and clothes,0,3,0.0000,72.0,bag laptop clothes,3,1
bag for shop,0,2,0.0000,9.0,bag shop,3,1
bag goo,0,25,0.0000,3.0,bag goo,3,1
bag grey,0,7,0.0000,6.9,bag grey,3,1
bag in a bag,0,3,0.0000,71.0,bag bag,3,1
bag in grey,0,1,0.0000,9.0,bag grey,3,1
bag my swag games,0,1,0.0000,92.0,bag swag games,3,1
bag notebook,0,1,0.0000,85.0,bag notebook,3,1
bag rucksack,0,8,0.0000,47.0,bag rucksack,3,1
bag shop,0,116,0.0000,68.0,bag shop,3,1
bag shops,0,1,0.0000,19.0,bag shop,3,1
bag stickers buy online,0,1,0.0000,83.0,bag stickers buy online,3,1
bag that folds into a pouch,0,1,0.0000,90.0,bag folds pouch,3,1
bag to carry laptop,0,17,0.0000,94.0,bag carry laptop,3,1
‏bags,0,1,0.0000,2.0,bags,3,1
bags .,0,2,0.0000,7.5,bags,3,1
bags & bags,0,1,0.0000,38.0,bags bags,3,1
bags and bags,0,2,0.0000,63.0,bags bags,3,1
bags backpack,0,4,0.0000,60.0,bags backpack,3,1
bags bag,0,7,0.0000,16.0,bags bag,3,1
bags bags,0,31,0.0000,25.0,bags bags,3,1
bags bags bags,0,18,0.0000,18.0,bags bags bags,3,1
bags bags store,0,1,0.0000,11.0,bags bags store,3,1
bags blue,0,4,0.0000,36.0,bags blue,3,1
bags brand,0,8,0.0000,67.0,bags brand,3,1
bags branded,0,4,0.0000,62.0,bags branded,3,1
bags buy,0,92,0.0000,29.0,bags buy,3,1
bags en bags,0,1,0.0000,95.0,bags en bags,3,1
bags for bags,0,2,0.0000,97.0,bags bags,3,1
bags for laptops and books,0,9,0.0000,84.0,bags laptops books,3,1
bags for notebooks,0,3,0.0000,64.0,bags notebooks,3,1
bags for stores,0,15,0.0000,78.0,bags store,3,1
bags in more,0,2,0.0000,5.5,bags,3,1
bags it,0,1,0.0000,57.0,bags,3,1
bags laptop brands,0,2,0.0000,90.0,bags laptop brands,3,1
bags like herschel,0,2,0.0000,120.0,bags like herschel,3,1
bags like timbuk2,0,6,0.0000,81.0,bags like timbuktu,3,1
bags merchandise,0,26,0.0000,25.0,bags merchandise,3,1
bags more,0,23,0.0000,6.0,bags,3,1
bags notebook,0,1,0.0000,81.0,bags notebook,3,1
bags of shopping,0,1,0.0000,89.0,bags shop,3,1
bags please,0,1,0.0000,54.0,bags please,3,1
bags price,0,3,0.0000,89.0,bags price,3,1
bags shop,0,74,0.0000,69.0,bags shop,3,1
bags shopping,0,3,0.0000,89.0,bags shop,3,1
"bags store,",0,46,0.0000,10.0,bags store,3,1
bags stores,0,6,0.0000,50.0,bags store,3,1
bags to carry books,0,1,0.0000,89.0,bags carry books,3,1
bags with logos,0,2,0.0000,170.0,bags logos,3,1
bags with price,0,1,0.0000,150.0,bags price,3,1
"bags,",0,1,0.0000,4.0,bags,3,1
bags?,0,2,0.0000,3.0,bags,3,1
bags.,0,7,0.0000,8.1,bags,3,1
bags',0,3,0.0000,5.3,bags,3,1
bags],0,1,0.0000,3.0,bags,3,1
bags\,0,2,0.0000,3.0,bags,3,1
bags&bags,0,1,0.0000,8.0,bags bags,3,1
bags#,0,1,0.0000,3.0,bags,3,1
ball cap store,0,2,0.0000,56.0,ball cap store,3,1
ball drinkware series,0,1,0.0000,62.0,ball drink ware series,3,0
ball pen with light,0,4,0.0000,16.0,ball pen light,3,1
ball pen with stylus,0,4,0.0000,49.0,ball pen stylus,3,1
ball point stylus,0,4,0.0000,87.0,ball point stylus,3,1
ballpoint pen price,0,5,0.0000,84.0,ballpoint pen price,3,1
ballpoint pen stylus,0,5,0.0000,86.0,ballpoint pen stylus,3,1
ballpoint pen with led light,0,7,0.0000,43.0,ballpoint pen led light,3,1
ballpoint pen with light,0,78,0.0000,21.0,ballpoint pen light,3,1
ballpoint pen with stylus,0,2,0.0000,53.0,ballpoint pen stylus,3,1
ballpoint pens with stylus,0,2,0.0000,48.0,ballpoint pens stylus,3,1
ballpoint stylus pen,0,11,0.0000,82.0,ballpoint stylus pen,3,1
bamboo cell phone stand,0,6,0.0000,31.0,bamboo cell phone stand,3,1
bamboo phone stand,0,9,0.0000,34.0,bamboo phone stand,3,1
barrel bag gym,0,1,0.0000,96.0,barrel bag gym,3,1
barrel bag purse,0,7,0.0000,89.0,barrel bag purse,3,1
be bags,0,3,0.0000,93.0,bags,3,1
be happy car decal,0,38,0.0000,29.0,happy car decal,3,1
beach bag backpack,0,3,0.0000,69.0,beach bag backpack,3,1
beach bag canada,0,1,0.0000,120.0,beach bag canada,3,1
beach bag rucksack,0,3,0.0000,31.0,beach bag rucksack,3,1
beanie clothes,0,2,0.0000,24.0,beanie clothes,3,1
beautiful bottle,0,2,0.0000,83.0,beautiful bottle,3,0
beautiful bottled water,0,2,0.0000,89.0,beautiful bottled water,3,0
beautiful bottles,0,30,0.0000,79.0,beautiful bottles,3,0
beautiful water bottles,0,9,0.0000,34.0,beautiful water bottles,3,0
beautiful water bottles online,0,1,0.0000,88.0,beautiful water bottles online,3,0
best cup to keep drinks cold,0,2,0.0000,70.0,best cup keep drinks cold,3,0
best cup to keep water cold,0,8,0.0000,42.0,best cup keep water cold,3,0
best cups to keep drinks cold,0,2,0.0000,89.0,best cups keep drinks cold,3,0
best fine point gel pen,0,1,0.0000,100.0,best fine point gel pen,3,0
best hot drink container,0,1,0.0000,100.0,best hot drink container,3,0
best iced coffee travel cup,0,1,0.0000,100.0,best iced travel cup,3,0
best iced coffee travel mug,0,2,0.0000,96.0,best iced travel mug,3,1
best insulated cup for hot drinks,0,2,0.0000,92.0,best insulated cup hot drinks,3,0
best laptop stickers,0,10,0.0000,92.0,best laptop stickers,3,1
best mug to keep drinks cold,0,1,0.0000,82.0,best mug keep drinks cold,3,0
best packable beach bag,0,1,0.0000,94.0,best pack able beach bag,3,1
best place to buy laptop stickers,0,1,0.0000,61.0,best place buy laptop stickers,3,1
best price on nest outdoor camera,0,1,0.0000,86.0,best price nest outdoor camera,3,1
best stickers for laptop,0,3,0.0000,77.0,best stickers laptop,3,1
best stickers for laptops,0,6,0.0000,91.0,best stickers laptops,3,1
best thermal drink container,0,2,0.0000,79.0,best thermal drink container,3,0
best travel mug for iced coffee,0,1,0.0000,98.0,best travel mug iced,3,1
best way to install nest outdoor camera,0,3,0.0000,89.0,best way install nest outdoor camera,3,1
beverage glass bottle,0,1,0.0000,98.0,beverage glass bottle,3,0
beverage glass bottles,0,2,0.0000,230.0,beverage glass bottles,3,0
bicycle bag,0,1,0.0000,200.0,bicycle bag,3,1
bicycle themed fabric,0,3,0.0000,83.0,bicycle themed fabric,3,1
big backpack brands,0,1,0.0000,97.0,big backpack brands,3,1
big bag youtube,0,1,0.0000,34.0,big bag youtube,3,1
big black pens,0,1,0.0000,96.0,big black pens,3,1
big book bag,0,2,0.0000,97.0,big book bag,3,1
big book bags,0,4,0.0000,210.0,big book bags,3,1
big canvas backpack,0,1,0.0000,98.0,big canvas backpack,3,1
big canvas bags,0,1,0.0000,90.0,big canvas bags,3,1
big idea pen,0,3,0.0000,65.0,big idea pen,3,1
big laptop case,0,1,0.0000,95.0,big laptop case,3,1
big leather journal,0,4,0.0000,91.0,big leather journal,3,1
big moods stickers,0,92,0.0000,10.0,big moods stickers,3,1
big string bags,0,1,0.0000,91.0,big string bags,3,1
big window decals,0,1,0.0000,94.0,big window decals,3,1
black and red water bottle,0,6,0.0000,41.0,black red water bottle,3,0
black and red water bottle brand,0,4,0.0000,21.0,black red water bottle brand,3,0
black and white water bottle,0,1,0.0000,92.0,black white water bottle,3,0
black and white water bottles,0,1,0.0000,1.0,black white water bottles,3,0
black back bags,0,3,0.0000,90.0,black back bags,3,1
black backpack with laptop sleeve,0,6,0.0000,81.0,black backpack laptop sleeve,3,1
black book bag,0,3,0.0000,81.0,black book bag,3,1
black book bag purse,0,2,0.0000,75.0,black book bag purse,3,1
black book bags,0,4,0.0000,80.0,black book bags,3,1
black bottle coffee,0,1,0.0000,92.0,black bottle,3,0
black bottles,0,1,0.0000,100.0,black bottles,3,0
black brand laptop bags,0,1,0.0000,61.0,black brand laptop bags,3,1
black branded bag,0,1,0.0000,69.0,black branded bag,3,1
black canvas laptop bag,0,1,0.0000,63.0,black canvas laptop bag,3,1
black cap bottle,0,1,0.0000,8.0,black cap bottle,3,0
black cloth bag,0,18,0.0000,39.0,black cloth bag,3,1
black coffee travel mug,0,3,0.0000,57.0,black travel mug,3,1
black drink bottle,0,2,0.0000,17.0,black drink bottle,3,0
black drinking glass,0,2,0.0000,90.0,black drinking glass,3,0
black drinkware,0,11,0.0000,28.0,black drink ware,3,0
black glass water bottle,0,2,0.0000,68.0,black glass water bottle,3,0
black goodie bags,0,4,0.0000,69.0,black goodie bags,3,1
black hardcover notebook,0,25,0.0000,50.0,black hardcover notebook,3,1
black ink store,0,1,0.0000,100.0,black ink store,3,1
black laptop backpacks,0,4,0.0000,97.0,black laptop backpacks,3,1
black lined notebook paper,0,3,0.0000,83.0,black lined notebook paper,3,1
black merchandise bags,0,40,0.0000,52.0,black merchandise bags,3,1
black mesh bag,0,1,0.0000,72.0,black mesh bag,3,1
black mesh bags,0,2,0.0000,160.0,black mesh bags,3,1
black mesh book bag,0,2,0.0000,42.0,black mesh book bag,3,1
black messenger bag canvas,0,1,0.0000,82.0,black messenger bag canvas,3,1
black metal coffee mug,0,25,0.0000,88.0,black metal mug,3,1
black metal mug,0,3,0.0000,66.0,black metal mug,3,1
black metal water bottle,0,2,0.0000,98.0,black metal water bottle,3,0
black nalgene bottle,0,33,0.0000,85.0,black nalgene bottle,3,0
black page notebooks,0,1,0.0000,51.0,black page notebooks,3,1
black paper notebook,0,1,0.0000,34.0,black paper notebook,3,1
black paper notebooks,0,5,0.0000,32.0,black paper notebooks,3,1
black pens,0,3,0.0000,86.0,black pens,3,1
black pouch canvas bag,0,51,0.0000,68.0,black pouch canvas bag,3,1
black sandwich bags,0,3,0.0000,86.0,black sandwich bags,3,1
black shopping bag,0,1,0.0000,99.0,black shop bag,3,1
black shopping bags,0,39,0.0000,86.0,black shop bags,3,1
black sports bottles,0,23,0.0000,92.0,black sports bottles,3,0
black stainless water bottle,0,1,0.0000,99.0,black stainless water bottle,3,0
black swell bottle,0,10,0.0000,66.0,black swell bottle,3,0
black swell water bottle,0,6,0.0000,85.0,black swell water bottle,3,0
black thermal water bottle,0,2,0.0000,9.0,black thermal water bottle,3,0
black tumbler cups,0,1,0.0000,23.0,black tumbler cups,3,0
black water bottle,0,130,0.0000,74.0,black water bottle,3,0
black water bottles,0,76,0.0000,76.0,black water bottles,3,0
black waterbottle,0,1,0.0000,85.0,black water bottle,3,0
blink 182 baby clothes,0,1,0.0000,57.0,blink baby clothes,3,1
blu water bottle,0,2,0.0000,78.0,blu water bottle,3,0
blue backpacks,0,1,0.0000,85.0,blue backpacks,3,1
blue bottle coffee travel mug,0,3,0.0000,51.0,blue bottle travel mug,3,0
blue bottle mug,0,4,0.0000,53.0,blue bottle mug,3,0
blue bottle tumbler,0,4,0.0000,23.0,blue bottle tumbler,3,0
blue canvas backpack,0,44,0.0000,79.0,blue canvas backpack,3,1
